央视,#genre#
CCTV1综合高清,http://jylt.jdshipin.com:808/hls/101/index.m3u8
CCTV2财经高清,http://jylt.jdshipin.com:808/hls/102/index.m3u8
CCTV3综艺高清,http://jylt.jdshipin.com:808/hls/3/index.m3u8
CCTV4中文国际高清,udp://239.3.3.104:10001
CCTV4中文国际高清,http://jylt.jdshipin.com:808/hls/104/index.m3u8
CCTV5体育高清,http://jylt.jdshipin.com:808/hls/5/index.m3u8
CCTV6电影高清,http://jylt.jdshipin.com:808/hls/6/index.m3u8
CCTV7国防军事高清,http://jylt.jdshipin.com:808/hls/7/index.m3u8
CCTV8电视剧高清,http://jylt.jdshipin.com:808/hls/8/index.m3u8
CCTV9记录高清,http://jylt.jdshipin.com:808/hls/109/index.m3u8
CCTV10科教高清,http://jylt.jdshipin.com:808/hls/110/index.m3u8
CCTV11戏曲高清,http://jylt.jdshipin.com:808/hls/111/index.m3u8
CCTV12社会与法高清,http://jylt.jdshipin.com:808/hls/112/index.m3u8
CCTV13新闻,http://jylt.jdshipin.com:808/hls/113/index.m3u8
CCTV14少儿高清,http://jylt.jdshipin.com:808/hls/114/index.m3u8
CCTV15音乐,http://jylt.jdshipin.com:808/hls/115/index.m3u8
CCTV5+体育赛事高清,http://jylt.jdshipin.com:808/hls/30/index.m3u8
CCTV17农村农业,http://jylt.jdshipin.com:808/hls/117/index.m3u8
广东区卫视,#genre#
广东卫视高清,http://jylt.jdshipin.com:808/hls/121/index.m3u8
广东体育高清,http://jylt.jdshipin.com:808/hls/22/index.m3u8
广东新闻,http://jylt.jdshipin.com:808/hls/124/index.m3u8
广东影视,http://jylt.jdshipin.com:808/hls/142/index.m3u8
广东珠江高清,udp://239.3.3.122:10001
广东珠江高清,http://jylt.jdshipin.com:808/hls/122/index.m3u8
广东岭南戏曲,http://jylt.jdshipin.com:808/hls/143/index.m3u8
广东少儿,http://jylt.jdshipin.com:808/hls/120/index.m3u8
广东公共,http://jylt.jdshipin.com:808/hls/148/index.m3u8
大湾区卫视,http://jylt.jdshipin.com:808/hls/67/index.m3u8
深圳卫视高清,http://jylt.jdshipin.com:808/hls/125/index.m3u8
广东综艺4K,http://jylt.jdshipin.com:808/hls/999/index.m3u8
卫视,#genre#
湖南卫视高清,http://jylt.jdshipin.com:808/hls/126/index.m3u8
江苏卫视高清,http://jylt.jdshipin.com:808/hls/130/index.m3u8
北京卫视高清,http://jylt.jdshipin.com:808/hls/153/index.m3u8
东森电影台,http://jylt.jdshipin.com:808/hls/32/index.m3u8
东森洋片台,http://jylt.jdshipin.com:808/hls/33/index.m3u8
江西卫视高清,http://jylt.jdshipin.com:808/hls/152/index.m3u8
浙江卫视高清,http://jylt.jdshipin.com:808/hls/129/index.m3u8
安徽卫视高清,http://jylt.jdshipin.com:808/hls/131/index.m3u8
湖北卫视高清,http://jylt.jdshipin.com:808/hls/128/index.m3u8
四川卫视高清,http://jylt.jdshipin.com:808/hls/165/index.m3u8
山东卫视高清,http://jylt.jdshipin.com:808/hls/132/index.m3u8
辽宁卫视高清,http://jylt.jdshipin.com:808/hls/133/index.m3u8
